
Namespace                         ResourceType                                                                                         Ali
Microsoft.Media                   mediaservices                                                                                        {M…
Microsoft.Media                   mediaservices/assets                                                                                 {M…
Microsoft.Media                   mediaservices/contentKeyPolicies                                                                     {M…
Microsoft.Media                   mediaservices/streamingLocators                                                                      {M…
Microsoft.Media                   mediaservices/streamingPolicies                                                                      {M…
Microsoft.Media                   mediaservices/transforms                                                                             {M…
Microsoft.Media                   mediaservices/transforms/jobs                                                                        {M…
Microsoft.Media                   mediaservices/streamingEndpoints                                                                     {M…
Microsoft.Media                   mediaservices/liveEvents                                                                             {M…
Microsoft.Media                   mediaservices/liveEvents/liveOutputs                                                                 {M…
Microsoft.Media                   mediaservices/privateEndpointConnections                                                             {M…
Microsoft.Media                   mediaservices/assets/assetFilters                                                                    {M…
Microsoft.Media                   mediaservices/accountFilters                                                                         {M…
Microsoft.Media                   mediaservices/mediaGraphs                                                                            {M…
Microsoft.Migrate                 projects                                                                                             {M…
Microsoft.Migrate                 migrateprojects                                                                                      {M…
Microsoft.Migrate                 assessmentProjects                                                                                   {M…
Microsoft.Migrate                 projects/groups                                                                                      {M…
Microsoft.Migrate                 projects/groups/assessments                                                                          {M…
Microsoft.Migrate                 assessmentprojects/groups                                                                            {M…
Microsoft.Migrate                 assessmentprojects/groups/assessments                                                                {M…
Microsoft.Migrate                 assessmentprojects/hypervcollectors                                                                  {M…
Microsoft.Migrate                 assessmentprojects/vmwarecollectors                                                                  {M…
Microsoft.Migrate                 migrateprojects/solutions                                                                            {M…
Microsoft.NetApp                  netAppAccounts                                                                                       {M…
Microsoft.NetApp                  netAppAccounts/backupPolicies                                                                        {M…
Microsoft.NetApp                  netAppAccounts/capacityPools                                                                         {M…
Microsoft.NetApp                  netAppAccounts/capacityPools/volumes                                                                 {M…
Microsoft.NetApp                  netAppAccounts/capacityPools/volumes/snapshots                                                       {M…
Microsoft.NetApp                  netAppAccounts/capacityPools/volumes/backups                                                         {M…
Microsoft.NetApp                  netAppAccounts/snapshotPolicies                                                                      {M…
Microsoft.Network                 virtualNetworks                                                                                      {M…
Microsoft.Network                 natGateways                                                                                          {M…
Microsoft.Network                 publicIPAddresses                                                                                    {M…
Microsoft.Network                 customIpPrefixes                                                                                     {M…
Microsoft.Network                 networkInterfaces                                                                                    {M…
Microsoft.Network                 privateEndpoints                                                                                     {M…
Microsoft.Network                 loadBalancers                                                                                        {M…
Microsoft.Network                 networkSecurityGroups                                                                                {M…
Microsoft.Network                 applicationSecurityGroups                                                                            {M…
Microsoft.Network                 serviceEndpointPolicies                                                                              {M…
Microsoft.Network                 routeTables                                                                                          {M…
Microsoft.Network                 publicIPPrefixes                                                                                     {M…
Microsoft.Network                 ddosCustomPolicies                                                                                   {M…
Microsoft.Network                 networkWatchers                                                                                      {M…
Microsoft.Network                 networkWatchers/connectionMonitors                                                                   {M…
Microsoft.Network                 networkWatchers/flowLogs                                                                             {M…
Microsoft.Network                 virtualNetworkGateways                                                                               {M…
Microsoft.Network                 localNetworkGateways                                                                                 {M…
Microsoft.Network                 connections                                                                                          {M…
Microsoft.Network                 applicationGateways                                                                                  {M…
Microsoft.Network                 applicationGatewayWebApplicationFirewallPolicies                                                     {M…
Microsoft.Network                 dnszones                                                                                             {M…
Microsoft.Network                 dnszones/A                                                                                           {M…
Microsoft.Network                 dnszones/AAAA                                                                                        {M…
Microsoft.Network                 dnszones/CNAME                                                                                       {M…
Microsoft.Network                 dnszones/PTR                                                                                         {M…
Microsoft.Network                 dnszones/MX                                                                                          {M…
Microsoft.Network                 dnszones/TXT                                                                                         {M…
Microsoft.Network                 dnszones/SRV                                                                                         {M…
Microsoft.Network                 dnszones/SOA                                                                                         {M…
Microsoft.Network                 dnszones/NS                                                                                          {M…
