"Namespace","ResourceType","Locations","Aliases","ApiVersions"
"Microsoft.Automation","automationAccounts/schedules","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automation","automationAccounts/watchers","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automation","automationAccounts/nodes","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Batch","batchAccounts","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Batch","batchAccounts/pools","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Batch","batchAccounts/certificates","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Batch","batchAccounts/applications","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Batch","batchAccounts/applications/versions","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Batch","batchAccounts/privateEndpointConnections","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Blockchain","blockchainMembers","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Blockchain","blockchainMembers/transactionNodes","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Blueprint","blueprints","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Blueprint","blueprints/versions","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
